kepid;kepoi_name;kepler_name;koi_disposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_teq;koi_insol;koi_model_snr;koi_steff;koi_slogg;koi_srad;ra;dec;koi_kepmag
9913798;K07254.01;;FALSE POSITIVE;0;0;1;0;0;2.14344093;0.686;3.9741;133320;28.69;1033;269.48;645.9;4817;4.624;0.7;299.68179;46.735352;14.945
9934208;K07256.01;;FALSE POSITIVE;0;0;1;0;0;9.058487716;0.213;4.14334;127970;20.51;547;21.15;2098.9;4340;4.671;0.573;282.54208;46.856628;15.507
9936698;K07257.01;;FALSE POSITIVE;0;0;1;0;0;2.856085147;0.841;4.5776;173840;88.52;1739;2164;422.1;6604;4.178;1.526;284.06732;46.809582;14.045
10867017;K07384.01;;FALSE POSITIVE;0;0;1;1;0;0.876941133;0.386;1.296;73.5;0.85;1938;3332.14;12.3;6018;4.485;0.975;294.21442;48.258179;14.978
10909274;K07385.01;;FALSE POSITIVE;0;0;1;0;0;39.23814157;0.459;6.07183;439210;90.93;656;43.69;969.3;6599;4.35;1.234;285.97623;48.320782;12.153
10920813;K07386.01;;FALSE POSITIVE;0;1;0;0;0;53.7406575;0.386;47.2475;116720;25.44;398;5.93;3568.1;5288;4.577;0.737;292.21005;48.315643;13.756
10923260;K07387.01;;FALSE POSITIVE;0;0;1;0;0;7.436016459;0.433;4.16284;106530;31.39;968;207.61;742.1;6214;4.501;0.933;293.34525;48.382301;14.546
10924400;K07388.01;;FALSE POSITIVE;0;0;1;1;1;0.750737313;0.463;1.712;38.8;0.48;1603;1558.69;13.4;5151;4.602;0.761;293.82587;48.34436;12.306
10936427;K07390.01;;FALSE POSITIVE;0;0;1;0;0;14.36102158;0.003;13.2895;459880;45.9;594;29.44;2599;5229;4.607;0.668;298.34381;48.335892;14.419
10937609;K07391.01;;FALSE POSITIVE;0;0;1;0;0;2.570431263;1.054;5.49699;76826;50.18;1411;936.9;822.9;6244;4.473;0.971;298.74158;48.326962;13.43
10965963;K07392.01;;FALSE POSITIVE;0;0;1;0;0;6.64024496;0.756;6.03491;224330;74.4;1114;364.44;2941;6085;4.293;1.215;286.61066;48.479729;13.881
12251779;K07517.01;;FALSE POSITIVE;0;0;1;0;0;14.84424039;0.275;6.83577;83412;28.97;810;101.98;4542.8;6161;4.367;0.988;287.57361;50.99873;14.415
